time,height_m,snr,wind_speed,vertical_velocity
2025-08-02 00:00:00,100,1.05,16.25,1.15
2025-08-02 00:00:00,160,1.1,25.5,1.0
2025-08-02 00:00:00,220,0.8500000000000001,10.350000000000001,0.8
2025-08-02 00:00:00,280,0.8,5.8,0.5
2025-08-02 00:00:00,340,1.2999999999999998,17.65,0.39999999999999997
2025-08-02 00:00:00,460,1.1,19.5,0.8
2025-08-02 00:00:00,580,1.0,19.0,0.1
2025-08-02 00:00:00,820,,,1.0
2025-08-02 00:00:00,880,,,0.7
2025-08-02 00:00:00,940,0.8,15.0,0.7
2025-08-02 00:00:00,1060,1.3,15.2,0.30000000000000004
2025-08-02 00:00:00,1120,0.4,,0.4
2025-08-02 00:00:00,1180,1.2,9.8,0.1
2025-08-02 00:00:00,1300,,,0.3
2025-08-02 00:00:00,1540,,,0.1
2025-08-02 00:00:00,1600,0.7,9.0,0.1
2025-08-02 00:00:00,1660,0.4,4.1,0.2
2025-08-02 00:00:00,1720,,,0.0
2025-08-02 00:00:00,2860,,,0.0
2025-08-02 00:06:00,100,1.2,17.1,1.7
2025-08-02 00:06:00,160,0.9,11.5,1.5
2025-08-02 00:06:00,220,1.4,34.1,1.3
2025-08-02 00:06:00,280,1.2,19.6,1.2
2025-08-02 00:06:00,340,0.6,4.5,1.3
2025-08-02 00:06:00,400,,,0.9
2025-08-02 00:06:00,520,,,0.4
2025-08-02 00:06:00,580,0.44999999999999996,6.9,0.2
2025-08-02 00:06:00,640,0.5,5.7,0.2
2025-08-02 00:06:00,700,0.9,21.1,0.2
2025-08-02 00:06:00,760,0.8,10.5,0.3
2025-08-02 00:06:00,820,0.5,4.2,3.7
2025-08-02 00:06:00,880,0.5,5.3,0.4
2025-08-02 00:06:00,940,,,0.4
2025-08-02 00:06:00,1000,,,0.4
2025-08-02 00:06:00,1060,1.6,8.3,4.0
2025-08-02 00:06:00,1120,0.5,5.0,0.0
2025-08-02 00:06:00,1180,0.4,,0.0
2025-08-02 00:06:00,1240,0.7,17.6,0.0
2025-08-02 00:06:00,1300,0.7,11.2,0.25
2025-08-02 00:06:00,1540,0.8,9.3,0.15
2025-08-02 00:06:00,1660,,,0.2
2025-08-02 00:06:00,1780,,,0.0
2025-08-02 00:06:00,1900,0.7,5.9,0.2
2025-08-02 00:06:00,1960,,,0.5
2025-08-02 00:12:00,100,1.4,23.4,0.7
2025-08-02 00:12:00,160,1.5,30.3,0.6
2025-08-02 00:12:00,220,2.7,17.0,0.7
2025-08-02 00:12:00,280,1.6,11.3,0.5
2025-08-02 00:12:00,340,0.55,6.8,0.75
2025-08-02 00:12:00,400,0.6,4.8,0.7
2025-08-02 00:12:00,460,0.1,,0.9
2025-08-02 00:12:00,580,,,0.7
2025-08-02 00:12:00,700,,,0.8
2025-08-02 00:12:00,820,,,0.1
2025-08-02 00:12:00,2980,0.4,,0.3
2025-08-02 00:12:00,3100,0.5,,0.3
2025-08-02 00:18:00,100,0.95,9.7,0.5
2025-08-02 00:18:00,160,1.1,12.9,0.7
2025-08-02 00:18:00,220,0.8,6.0,0.7
2025-08-02 00:18:00,280,0.4,4.2,0.7
2025-08-02 00:18:00,340,,,0.5
2025-08-02 00:18:00,580,,,0.2
2025-08-02 00:18:00,1000,0.5,4.8,0.1
2025-08-02 00:18:00,1060,0.8,13.5,0.1
2025-08-02 00:18:00,1120,0.7,14.4,0.1
2025-08-02 00:18:00,1180,,,0.5
2025-08-02 00:18:00,1240,,,0.5
